variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,231,1412,-3.7633563417777577e-06,-2.041944318060469e-05,1.3968038123743815e-05
r_1m_mean,232,1412,2.139019987808226e-05,7.546416301204808e-06,3.597044680322507e-05
r_1m_mean,233,1413,-4.68281182483706e-06,-2.0357324568388098e-05,1.3933340062604287e-05
r_1m_mean,234,1410,-1.2169294460303895e-05,-2.7249961523534414e-05,2.218500832832991e-06
r_1m_mean,235,1409,4.650590028698275e-06,-1.1538487877640152e-05,2.1322792646855995e-05
r_1m_mean,236,1412,6.68643031795908e-06,-8.040877838795445e-06,1.959476748079362e-05
r_1m_mean,237,1411,1.4874575231038431e-05,-2.639613057431408e-06,3.1629010955550694e-05
r_1m_mean,238,1409,6.111862849379892e-06,-8.739444912333067e-06,2.379511049813757e-05
r_1m_mean,239,1409,1.1871662605891513e-05,-3.8008081323738265e-06,2.7389180051775398e-05
r_1m_mean,240,1411,-2.728261947703503e-06,-1.6632508822314685e-05,1.1227658207953955e-05
r_1m_mean,241,1412,2.0485991790701603e-05,-8.931066659689358e-06,4.461567300986326e-05
r_1m_mean,242,1412,2.788982577632534e-05,7.16582763774895e-06,4.885096212113434e-05
r_1m_mean,243,1411,2.3813684050221764e-05,3.5900892614100318e-06,4.294019959469758e-05
r_1m_mean,244,1411,-1.5593744325326527e-05,-3.811944709223614e-05,7.644949854143661e-06
r_1m_mean,245,1411,-5.391938103849125e-06,-2.3979046861572564e-05,1.2044010482586821e-05
r_1m_mean,246,1410,1.8872732042924213e-06,-1.873796842988214e-05,2.068239884495301e-05
r_1m_mean,247,1411,-1.1750093416827663e-05,-2.9189391360281948e-05,6.567059244861526e-06
r_1m_mean,248,1412,1.3768079095387872e-05,-4.783717910913752e-06,3.4438706260988194e-05
r_1m_mean,249,1413,-1.3392742298107931e-05,-3.304862258203004e-05,2.378350368693052e-06
r_1m_mean,250,1411,-1.6023748121504278e-06,-1.8892557086054317e-05,1.630956490589767e-05
r_1m_mean,251,1410,1.8510691821148534e-06,-1.4125631567613208e-05,1.8739632741961895e-05
r_1m_mean,252,1409,-1.2670337652216866e-05,-2.8198019183416418e-05,3.630545103489432e-06
r_1m_mean,253,1410,-9.171598534165031e-06,-2.5824474399628568e-05,8.657973394050685e-06
r_1m_mean,254,1412,1.546758644843712e-06,-1.3340533700075881e-05,1.8823968243882985e-05
r_1m_mean,255,1410,-8.199379520552774e-06,-2.2607551716218578e-05,8.074590461200829e-06
r_1m_mean,256,1410,1.4065363725062613e-05,-3.5731682807678172e-06,3.278239415511685e-05
r_1m_mean,257,1410,2.492248706785492e-06,-1.496847850126623e-05,1.8036858459969274e-05
r_1m_mean,258,1409,-5.879118089780702e-07,-1.8056063660816854e-05,1.6257341869075868e-05
r_1m_mean,259,1410,-5.402504459376426e-06,-2.2427501514027932e-05,1.3432477519960219e-05
r_1m_mean,260,1411,1.267097780984755e-06,-1.4501994555971926e-05,1.5744499161059763e-05
r_1m_mean,261,1410,-1.1704914375399859e-07,-1.8410216415662983e-05,1.73450092088393e-05
r_1m_mean,262,1410,-1.1079387532806857e-05,-2.5253129319291607e-05,7.627430744098158e-06
r_1m_mean,263,1410,-1.69243496983724e-06,-1.920125782948581e-05,1.6445692375923914e-05
r_1m_mean,264,1409,-1.2935341832417804e-05,-2.971493810083928e-05,2.71252822704537e-06
r_1m_mean,265,1409,-7.51082797515347e-06,-2.289990158774588e-05,8.79448039635086e-06
r_1m_mean,266,1410,-2.8350415620387706e-06,-1.7969731047905056e-05,1.4532527895860801e-05
r_1m_mean,267,1409,1.3619002810391464e-06,-1.6122133060237605e-05,1.8637455196928526e-05
r_1m_mean,268,1410,1.92796589192363e-05,2.7750793837402025e-07,4.117125119443664e-05
r_1m_mean,269,1411,-3.6354598902888083e-06,-2.1605407687537515e-05,1.4133808977882995e-05
r_1m_mean,270,1411,-4.925715410163384e-06,-2.1510392992963458e-05,1.0950561369637695e-05
r_1m_mean,271,1412,1.9850967110671756e-05,2.1694385745026826e-06,4.038152396439189e-05
r_1m_mean,272,1412,-6.850097179215237e-06,-2.4389388943868137e-05,1.1434718297159361e-05
r_1m_mean,273,1411,2.1325381152906532e-06,-1.4242877867800824e-05,2.0097575114616e-05
r_1m_mean,274,1410,-4.415970024803249e-06,-2.0203559193146746e-05,1.2491029526278376e-05
r_1m_mean,275,1411,2.6526796535868314e-06,-1.0840281535155672e-05,1.7577200862325573e-05
r_1m_mean,276,1411,-8.353760610911391e-07,-2.00046775345488e-05,1.4414581433143471e-05
r_1m_mean,277,1410,-1.962753797557253e-06,-1.6611869996975835e-05,1.3246373591317478e-05
r_1m_mean,278,1412,9.083653624141906e-06,-4.794780006511193e-06,2.1573298780073912e-05
r_1m_mean,279,1411,-9.913740650228417e-06,-2.5015775440822976e-05,5.241111453637763e-06
r_1m_mean,280,1409,-7.85290393212189e-06,-2.2650500091577715e-05,6.6278021254318516e-06
r_1m_mean,281,1411,3.0342128409282233e-06,-1.2511622418379374e-05,2.2211620064993123e-05
r_1m_mean,282,1413,-5.934661893204812e-06,-2.2481981957089894e-05,1.2236618797632703e-05
