source_file,before_ts_utc,after_ts_utc,gap_minutes,before_ny,before_ny_time,after_ny,after_ny_time,before_date,after_date,cause,confidence,cause_detail,expected_ts_inicio,expected_ts_fin
00_mnq_03_20.Last.txt,2019-12-24 09:33:00+00:00,2019-12-24 09:35:00+00:00,2.0,2019-12-24 04:33:00-05:00,04:33:00,2019-12-24 04:35:00-05:00,04:35:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 09:34:00+00:00,2019-12-24 09:34:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 09:52:00+00:00,2019-12-24 09:54:00+00:00,2.0,2019-12-24 04:52:00-05:00,04:52:00,2019-12-24 04:54:00-05:00,04:54:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 09:53:00+00:00,2019-12-24 09:53:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 10:09:00+00:00,2019-12-24 10:11:00+00:00,2.0,2019-12-24 05:09:00-05:00,05:09:00,2019-12-24 05:11:00-05:00,05:11:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 10:10:00+00:00,2019-12-24 10:10:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 11:27:00+00:00,2019-12-24 11:29:00+00:00,2.0,2019-12-24 06:27:00-05:00,06:27:00,2019-12-24 06:29:00-05:00,06:29:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 11:28:00+00:00,2019-12-24 11:28:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 11:30:00+00:00,2019-12-24 11:32:00+00:00,2.0,2019-12-24 06:30:00-05:00,06:30:00,2019-12-24 06:32:00-05:00,06:32:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 11:31:00+00:00,2019-12-24 11:31:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 11:36:00+00:00,2019-12-24 11:38:00+00:00,2.0,2019-12-24 06:36:00-05:00,06:36:00,2019-12-24 06:38:00-05:00,06:38:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 11:37:00+00:00,2019-12-24 11:37:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 13:06:00+00:00,2019-12-24 13:08:00+00:00,2.0,2019-12-24 08:06:00-05:00,08:06:00,2019-12-24 08:08:00-05:00,08:08:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 13:07:00+00:00,2019-12-24 13:07:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 13:31:00+00:00,2019-12-24 13:33:00+00:00,2.0,2019-12-24 08:31:00-05:00,08:31:00,2019-12-24 08:33:00-05:00,08:33:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 13:32:00+00:00,2019-12-24 13:32:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 18:15:00+00:00,2019-12-25 23:01:00+00:00,1726.0,2019-12-24 13:15:00-05:00,13:15:00,2019-12-25 18:01:00-05:00,18:01:00,,2019-12-26,UNKNOWN,BAJA,al menos uno de los bordes del hueco no cae dentro de ninguna sesion conocida del calendario CME_Equity (ver barras fuera de grilla),2019-12-24 18:16:00+00:00,2019-12-25 23:00:00+00:00
00_mnq_03_20.Last.txt,2019-12-25 23:22:00+00:00,2019-12-25 23:25:00+00:00,3.0,2019-12-25 18:22:00-05:00,18:22:00,2019-12-25 18:25:00-05:00,18:25:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-25 23:23:00+00:00,2019-12-25 23:24:00+00:00
00_mnq_03_20.Last.txt,2019-12-25 23:49:00+00:00,2019-12-25 23:51:00+00:00,2.0,2019-12-25 18:49:00-05:00,18:49:00,2019-12-25 18:51:00-05:00,18:51:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-25 23:50:00+00:00,2019-12-25 23:50:00+00:00
00_mnq_03_20.Last.txt,2019-12-25 23:53:00+00:00,2019-12-25 23:55:00+00:00,2.0,2019-12-25 18:53:00-05:00,18:53:00,2019-12-25 18:55:00-05:00,18:55:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-25 23:54:00+00:00,2019-12-25 23:54:00+00:00
00_mnq_03_20.Last.txt,2019-12-26 01:10:00+00:00,2019-12-26 01:12:00+00:00,2.0,2019-12-25 20:10:00-05:00,20:10:00,2019-12-25 20:12:00-05:00,20:12:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-26 01:11:00+00:00,2019-12-26 01:11:00+00:00
00_mnq_03_20.Last.txt,2019-12-26 01:14:00+00:00,2019-12-26 01:17:00+00:00,3.0,2019-12-25 20:14:00-05:00,20:14:00,2019-12-25 20:17:00-05:00,20:17:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-26 01:15:00+00:00,2019-12-26 01:16:00+00:00
00_mnq_03_20.Last.txt,2019-12-26 01:33:00+00:00,2019-12-26 01:35:00+00:00,2.0,2019-12-25 20:33:00-05:00,20:33:00,2019-12-25 20:35:00-05:00,20:35:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-26 01:34:00+00:00,2019-12-26 01:34:00+00:00
00_mnq_03_20.Last.txt,2019-12-26 01:39:00+00:00,2019-12-26 01:41:00+00:00,2.0,2019-12-25 20:39:00-05:00,20:39:00,2019-12-25 20:41:00-05:00,20:41:00,2019-12-26,2019-12-26,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-26 01:40:00+00:00,2019-12-26 01:40:00+00:00
