series,config,theoretical_q,empirical_q
r_1m_raw,NA,-1.3594627454182584,-0.9067795680014785
r_1m_raw,NA,-1.3469386261102796,-0.8917755103392622
r_1m_raw,NA,-1.3346222867001933,-0.8764763329935479
r_1m_raw,NA,-1.3225051367384355,-0.8617041921149166
r_1m_raw,NA,-1.310579112168129,-0.8473710913576349
r_1m_raw,NA,-1.2988366326425054,-0.8329214748002386
r_1m_raw,NA,-1.2872705631079415,-0.8198359866370527
r_1m_raw,NA,-1.2758741791491297,-0.806958941458305
r_1m_raw,NA,-1.2646411356610803,-0.7943646314079926
r_1m_raw,NA,-1.2535654384704509,-0.7815410227924662
r_1m_raw,NA,-1.242641418577882,-0.7696859869296108
r_1m_raw,NA,-1.2318637087349833,-0.7578962802971313
r_1m_raw,NA,-1.2212272221055693,-0.746455311824971
r_1m_raw,NA,-1.2107271327915974,-0.7355877145462963
r_1m_raw,NA,-1.200358858030859,-0.7248994969498762
r_1m_raw,NA,-1.1901180418964235,-0.714320043743624
r_1m_raw,NA,-1.180000540347729,-0.7031333231386537
r_1m_raw,NA,-1.1700024075004787,-0.6935775965549904
r_1m_raw,NA,-1.1601198829975194,-0.6839315692253322
r_1m_raw,NA,-1.1503493803760079,-0.6744031753579671
r_1m_raw,NA,-1.140687476337622,-0.6646943395846697
r_1m_raw,NA,-1.131130900838633,-0.6553452305117766
r_1m_raw,NA,-1.1216765279254888,-0.6461377119798255
r_1m_raw,NA,-1.1123213672493113,-0.6375673501532182
r_1m_raw,NA,-1.1030625561995975,-0.6284337645796275
r_1m_raw,NA,-1.0938973526034377,-0.6196545125547863
r_1m_raw,NA,-1.0848231279419567,-0.6110424772344798
r_1m_raw,NA,-1.0758373610404315,-0.6028003571804438
r_1m_raw,NA,-1.0669376321927655,-0.595358049573638
r_1m_raw,NA,-1.058121617684777,-0.5876056229230048
r_1m_raw,NA,-1.0493870846841045,-0.5792731975749383
r_1m_raw,NA,-1.0407318864675446,-0.5709238846388539
r_1m_raw,NA,-1.032153957959306,-0.5636306919544377
r_1m_raw,NA,-1.0236513115560881,-0.556438258643123
r_1m_raw,NA,-1.015222033217028,-0.5494276735325266
r_1m_raw,NA,-1.0068642787985222,-0.5428322501451435
r_1m_raw,NA,-0.9985762706156596,-0.5356443873001875
r_1m_raw,NA,-0.9903562942135747,-0.5282892393119034
r_1m_raw,NA,-0.9822026953334697,-0.5217377099967535
r_1m_raw,NA,-0.974113877059309,-0.5150091733183476
r_1m_raw,NA,-0.9660882971323729,-0.5084191107111115
r_1m_raw,NA,-0.9581244654219027,-0.5020000694836574
r_1m_raw,NA,-0.9502209415410151,-0.4955011027857314
r_1m_raw,NA,-0.9423763325979505,-0.48892458691450724
r_1m_raw,NA,-0.9345892910734802,-0.4824275731906519
r_1m_raw,NA,-0.9268585128160437,-0.4769472133002332
r_1m_raw,NA,-0.9191827351468197,-0.4715845410082899
r_1m_raw,NA,-0.9115607350675407,-0.4655880901688245
r_1m_raw,NA,-0.9039913275644016,-0.4596725244936928
r_1m_raw,NA,-0.8964733640019162,-0.45322021063574747
r_1m_raw,NA,-0.8890057306010248,-0.44795537716460826
r_1m_raw,NA,-0.8815873469961746,-0.44258960592977276
r_1m_raw,NA,-0.8742171648664834,-0.4376047529497204
r_1m_raw,NA,-0.8668941666364379,-0.4323328710587845
r_1m_raw,NA,-0.8596173642419114,-0.4266571775553626
r_1m_raw,NA,-0.852385797957575,-0.4204845117693119
r_1m_raw,NA,-0.8451985352820499,-0.4154772563617005
r_1m_raw,NA,-0.8380546698774065,-0.4107170593470877
r_1m_raw,NA,-0.8309533205598377,-0.40586022874488725
r_1m_raw,NA,-0.8238936303385576,-0.4011353127677893
r_1m_raw,NA,-0.8168747655001637,-0.39679773262186335
r_1m_raw,NA,-0.809895914735898,-0.39267794922909494
r_1m_raw,NA,-0.8029562883093937,-0.38799158891574426
r_1m_raw,NA,-0.7960551172626629,-0.3834616712792619
r_1m_raw,NA,-0.7891916526582223,-0.3778437778745078
r_1m_raw,NA,-0.7823651648553872,-0.372709231162122
