variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,adjusted,2020-08,1,28623,0.4762234114332101,0.4741502368257716,False,50.0,0.43444671563861137,0.5137463510649326
log_hl,adjusted,2020-09,1,28884,0.5240607368348341,0.5238328377672028,False,50.0,0.4504239778058391,0.5684451402367687
log_hl,adjusted,2020-10,1,29080,0.6669803349499841,0.6650240257960068,False,50.0,0.6010699428809018,0.7188477636363999
log_hl,adjusted,2020-11,1,28161,0.6981697888628532,0.6955698613707031,False,50.0,0.5816776418825726,0.7370928162472569
log_hl,adjusted,2020-12,1,28295,0.5515953048203295,0.5507745641102905,False,50.0,0.4697627035069241,0.6220397669949315
log_hl,adjusted,2021-01,1,27037,0.6356324785514665,0.6335001541388459,False,50.0,0.5660333913687161,0.6979432582724087
log_hl,adjusted,2021-02,1,27034,0.6981005837747704,0.6979964728010672,False,50.0,0.6210770109674222,0.7334555557272955
log_hl,adjusted,2021-03,1,30481,0.5198888065629714,0.5194133232264082,False,50.0,0.46380552582592477,0.5564195194579583
log_hl,adjusted,2021-04,1,29523,0.4555503106678651,0.4510941825620753,False,50.0,0.40288758098988836,0.4855756481659343
log_hl,adjusted,2021-05,1,28386,0.5496412864331178,0.549591974067304,False,50.0,0.4849273895278436,0.5916124724071027
log_hl,adjusted,2021-06,1,28921,0.49198318890815573,0.4917917232583325,False,50.0,0.4156661557982723,0.535766100682887
log_hl,adjusted,2021-07,1,30094,0.5543510856317299,0.554459807670729,False,50.0,0.48649132024700154,0.5830430887711798
log_hl,adjusted,2021-08,1,30319,0.5408725186558796,0.5409726577740339,False,50.0,0.48114573342589845,0.5786360489387832
log_hl,adjusted,2021-09,1,29016,0.6158102766121176,0.615789193107575,False,50.0,0.5529606451383056,0.6464751769618013
log_hl,adjusted,2021-10,1,28848,0.5694774524003897,0.5695095356773426,False,50.0,0.5191983808942222,0.5958171857417299
log_hl,adjusted,2021-11,1,29858,0.642977895284564,0.6429068430169779,False,50.0,0.48327749970708206,0.6857926720734434
log_hl,adjusted,2021-12,1,29522,0.5657949388240718,0.5656289065316203,False,50.0,0.49855766080409447,0.604930303992175
log_hl,adjusted,2022-01,1,28719,0.6281848716552488,0.6282171021878658,False,50.0,0.5762107249276314,0.6690521571783866
