group_type,group,lag,n_pairs,rho,beta,insufficient_sample
year_month,2020-02,1,27000,0.0013309302239782978,0.0013286748856347187,False
year_month,2020-03,1,25774,-0.009444120041771661,-0.009403692899102437,False
year_month,2020-04,1,28568,0.009606615444474035,0.009600946126141019,False
year_month,2020-05,1,28359,0.034295238466037686,0.03429726270880264,False
year_month,2020-06,1,28528,0.010585109498452787,0.010563270275862234,False
year_month,2020-07,1,31070,0.0715381668368715,0.071502728660536,False
year_month,2020-08,1,28581,0.0341156467826687,0.03412020934135088,False
year_month,2020-09,1,28781,0.0272189269224286,0.027150136904919756,False
year_month,2020-10,1,29032,0.019576818616121625,0.019579989228179433,False
year_month,2020-11,1,28118,0.016840989164017144,0.016826753749550893,False
year_month,2020-12,1,28215,0.018779328805100127,0.018773248833916404,False
year_month,2021-01,1,26998,0.023268333119396457,0.02325252596742918,False
year_month,2021-02,1,26994,0.02440375829514051,0.02438864568511793,False
