lag,rho,beta,n_pairs,estimable,series,bartlett_se
886,0.001885620396230942,0.004452829694727458,623344,True,r_1m,0.0007252887297899758
887,0.0016414189333964011,0.0038779550901381155,621987,True,r_1m,0.0007252912903482416
888,-0.0016410013326499892,-0.0038791251638535694,620630,True,r_1m,0.0007252932306248953
889,-0.0015401991771751508,-0.0036435467781866155,619273,True,r_1m,0.0007252951699092189
890,-0.0015908641228583717,-0.0037652754429634934,617916,True,r_1m,0.0007252968782570528
891,-0.001985893695346517,-0.004702974913234896,616559,True,r_1m,0.0007252987008414399
892,-1.632167932743154e-05,-3.8681658450201126e-05,615202,True,r_1m,0.0007253015409312149
893,-0.0013226126980580301,-0.0031370440330522964,613845,True,r_1m,0.0007253015411230591
894,-0.001449938158658845,-0.003442094626728122,612488,True,r_1m,0.00072530280087264
895,-0.0022267736590385486,-0.005291683990972709,611131,True,r_1m,0.0007253043148416141
896,0.0015066088011618445,0.0035851320339034915,609774,True,r_1m,0.0007253078856672537
897,0.0006212255822309119,0.0014796540046956115,608417,True,r_1m,0.0007253095202839694
898,0.001777255317721877,0.004237807669333122,607060,True,r_1m,0.000725309798199634
899,-0.0035526432827290588,-0.00848285967893842,605703,True,r_1m,0.0007253120728426263
900,0.00017903732104228854,0.0004281098683787124,604346,True,r_1m,0.0007253211617860866
901,-0.00013296057060535284,-0.00031813918562860596,602989,True,r_1m,0.0007253211848692119
902,0.00377055153317296,0.009023741193499817,601632,True,r_1m,0.0007253211975999386
903,-0.001555900983974152,-0.0037258974247907045,600275,True,r_1m,0.0007253314355769633
904,-0.002509821892516847,-0.006013219678638178,598918,True,r_1m,0.0007253331788471904
905,-0.001709318415936583,-0.004097375513777594,597561,True,r_1m,0.000725337714969213
906,-0.0013562489218579296,-0.0032523754587743137,596204,True,r_1m,0.0007253398189553681
907,0.0028956419319792564,0.0069487138277047845,594847,True,r_1m,0.0007253411435247742
908,0.001089302232959644,0.0026156885217106947,593490,True,r_1m,0.0007253471813900447
909,-0.002917866995813538,-0.007012758251662637,592133,True,r_1m,0.0007253480358435352
910,-0.001464027544322436,-0.0035209463260735463,590776,True,r_1m,0.0007253541666913055
911,0.007187598040747378,0.017296767220459197,589419,True,r_1m,0.0007253557101170751
912,0.0018089151077815592,0.004355267800815083,588062,True,r_1m,0.0007253929101407906
913,0.0014447858960198183,0.0034802031601671285,586705,True,r_1m,0.000725395266275863
914,-2.553727609851314e-05,-6.15777690251338e-05,585348,True,r_1m,0.0007253967693127663
915,0.0016249531534408262,0.003921833952014057,583993,True,r_1m,0.0007253967697823482
916,-0.0015509926405373508,-0.0037457351483716306,582638,True,r_1m,0.0007253986710502996
917,-0.0007071067121354951,-0.001709498545842554,581284,True,r_1m,0.0007254004031784668
918,-0.0023578336278188457,-0.005703082684525592,579930,True,r_1m,0.0007254007632011324
919,0.005105867498014014,0.012355216819037552,578576,True,r_1m,0.0007254047661950697
920,0.003984368119955183,0.009647511263144391,577222,True,r_1m,0.0007254235373450971
921,0.0014582930676389624,0.0035334835380462794,575868,True,r_1m,0.0007254349677515257
922,-0.002735203352338842,-0.00663162395512692,574514,True,r_1m,0.0007254364989394749
923,-0.0007762092401238566,-0.0018828195680938929,573161,True,r_1m,0.0007254418855558785
924,8.897201677847488e-05,0.000215914878553003,571808,True,r_1m,0.0007254423193590109
925,-9.890242185889951e-05,-0.00024005960505412728,570455,True,r_1m,0.000725442325058577
926,-0.0015560223199964523,-0.0037795500112923035,569103,True,r_1m,0.0007254423321014327
927,0.0036842917733468754,0.008951591052219505,567751,True,r_1m,0.0007254440753770357
928,0.004156317926465329,0.010097073702682664,566399,True,r_1m,0.0007254538486266961
929,-0.0033315400910070687,-0.0080970292450401,565047,True,r_1m,0.0007254662863769701
930,0.000972889693007988,0.0023543369535274834,563696,True,r_1m,0.0007254742775086094
931,0.005179586997795998,0.012481936847289004,562345,True,r_1m,0.0007254749589724338
932,0.0025494022914744033,0.0061207230289857684,560994,True,r_1m,0.000725494274202261
933,6.149760665244662e-05,0.0001471942530011845,559643,True,r_1m,0.000725498953483818
934,0.0030197451207675395,0.007208484588807832,558292,True,r_1m,0.0007254989562066288
935,1.8265160922456132e-06,4.347240918069125e-06,556941,True,r_1m,0.0007255055212808981
936,0.002458265941479563,0.005834581605540024,555590,True,r_1m,0.0007255055212833
937,0.000722591006074294,0.0017112549746438048,554239,True,r_1m,0.0007255098719271055
938,0.0016496148835862398,0.0038979344065615635,552888,True,r_1m,0.0007255102478333054
939,0.0015613068100644948,0.003682153598867528,551537,True,r_1m,0.0007255122069432952
940,0.001818052648913721,0.004274516749810163,550186,True,r_1m,0.0007255139619108137
941,0.0002606526874779101,0.0006116440246852654,548836,True,r_1m,0.0007255163415123952
942,0.001923329847137314,0.0045042433262638785,547486,True,r_1m,0.0007255163904243506
943,-0.0009991275583332137,-0.002335978588072958,546136,True,r_1m,0.0007255190535848535
944,0.00048027788911731003,0.001121159216959004,544786,True,r_1m,0.0007255197722567506
945,0.002544337617838377,0.005927824095182249,543437,True,r_1m,0.0007255199383200676
946,0.0034048722816972083,0.007916170061943364,542088,True,r_1m,0.0007255245988634522
947,0.0009395900786100243,0.002180703861652845,540739,True,r_1m,0.0007255329449875181
948,-0.0033302138165157875,-0.007715125065633693,539390,True,r_1m,0.000725533580548666
949,0.0057785820131372664,0.013370850709363604,538041,True,r_1m,0.000725541564578534
950,0.004236803979664022,0.009782575235812455,536693,True,r_1m,0.0007255656032739755
951,-0.0024011431505382755,-0.00553371992052172,535345,True,r_1m,0.0007255785254012246
952,-0.004975353563315436,-0.011446509031319241,533997,True,r_1m,0.000725582675785091
953,0.005292241174888994,0.01215548076229067,532649,True,r_1m,0.0007256004952017681
954,0.0027379692822586624,0.006282667871559304,531301,True,r_1m,0.0007256206562670029
955,-0.004281966719237253,-0.009811351107762633,529953,True,r_1m,0.00072562605241329
956,0.001756654411936026,0.004018224968147228,528605,True,r_1m,0.000725639250396834
957,-0.0019027290913517572,-0.004347987013191431,527258,True,r_1m,0.0007256414716039436
958,-0.0027981181890910805,-0.006387814421839695,525911,True,r_1m,0.0007256440775706645
